"department_fiorilli","location_ahgora"
"ABASTECIMENTO-INFRA","Abastecimento-infra"
"ABRIGO MUNICIPAL","Ponto Abrigo Municipal"
"ADMINISTRACAO-PRACA ESPORTE","Ponto Praça de Esportes"
"ADMINISTRACAO-SAUDE","Administração-Saúde"
"AGRON.COMER.IND.MEIO AMB.","Agro.Comer.Ind.Meio Amb."
"ALMOX/ARQUIVO CENTRAL","Arquivo Central"
"ALMOXARIFADO","Almoxarifado"
"ALVARA-FINANCAS","Arrecadação"
"AMOSC","Amosc"
"APAE",
"ARQUIVO CENTRAL","Arquivo Central"
"ARRECADACAO","Arrecadação"
"ASSISTENCIA SOCIAL GERAL","Ponto Desenvolvimento Social"
"BANCO DE ALIMENTOS","Banco de Alimentos"
"BENEFICIO EVENTUAL","Beneficio Eventual"
"BIBLIOTECA","Biblioteca"
"CADASTRO IMOBILIARIO","Cadastro Imobiliário"
"CADASTRO UNICO","Cadastro Unico"
"CAMARA MUNICIPAL","Câmara Municipal"
"CAPS","Ponto CAPS"
"CAPS-CENTRO DE ATENÇÃO PSICOSSOCIAL","Ponto CAPS"
"CAPS-OBRA-CONSTRUCAO",
"CARTORIO ELEITORAL","Cartório Eleitoral"
"CASA DE CULTURA","Ponto Casa de Cultura"
"CEIM ANTONIA BARBOSA","Ponto CEIM Antônia Barbosa"
"CEIM DR. OSVALDO ALVARES DA SI","Ponto CEIM Doutor Osvaldo"
"CEIM FRANCISCO PEREIRA SOARES","Ponto CEIM Francisco Pereira Soares"
"CEIM HELENA MARIA DOS SANTOS E","Ponto CEIM Helena Maria"
"CEIM LAFAIETE FERREIRA DOS SAN","Ponto CEIM Lafaiete"
"CEIM LEONIDIO CORREA","Ponto CEIM Leonídio Corrêa"
"CEIM MARIA AUREA DE MENEZES","Ponto Ceim Maria Áurea de Menezes"
"CEIM MARIA DA CONCEICAO SOARES","Ponto Ceim Maria Conceicao Soares"
"CEIM VALDELINO ALVES DE SOUSA","Ponto CEIM Valdelino"
"CENTRAL/REGULACAO","Ponto Central/Regulação"
"CENTRO ADMINISTRATIVO-COZINHA","Ponto Centro Administrativo-Cozinha"
"CENTRO DE CONVIVENCIA DO IDOSO","Ponto Centro de Convivência do Idoso"
"COMPRAS","Ponto Compras"
"COMPRAS/LICITACOES","Ponto Compras/Licitações"
"COMUNICACAO","Ponto Comunicação"
"CONSELHO MUNICIPAL DA SAUDE","Conselho Municipal da Saúde"
"CONSELHO TUTELAR","Ponto Conselho Tutelar"
"CONSELHOS MUNICIPAIS SOCIAL","Ponto Conselhos Municipais Social"
"CONTABILIDADE","Ponto Contabilidade"
"CONTROLADORIA","Ponto Controladoria"
"CRAS","Ponto CRAS"
"CRAS - FEDERAL","Ponto CRAS"
"CRAS - PAC","Ponto CRAS"
"CRAS - PISO MINEIRO","Ponto CRAS"
"CREAS","Ponto CREAS"
"CULTURA, ESPORTE E TURISMO","Ponto Cultura, Esporte e Turismo"
"DEFENSORIA PUBLICA","Ponto Defensoria Pública"
"DELEGACIA","Ponto Delegacia"
"DEPARTAMENTO DE PESSOAL","Ponto Departamento de Pessoal"
"DESENVOLVIMENTO SOCIAL","Ponto Desenvolvimento Social"
"DIRETORIA DE PLANEJAMENTO-EDUC","Ponto Secretaria de Educação"
"DIRETORIA SEGURANCA PUBLICA","Ponto Diretoria Segurança Pública"
"DIVIDA ATIVA","Ponto Dívida Ativa"
"EDUCACAO EM SAUDE","Administração-Saúde"
"EMATER","Ponto Emater"
"EPIDEMIOLOGIA","Ponto Epidemiologia"
"EQUIPE VOLANTE","Ponto Equipe Volante"
"ESCOLA ADELAIDE JOAQUINA",
"ESCOLA ANTONIO DA PALMIRA","Ponto Escola Antônio da Palmira"
"ESCOLA ESTANISLAU CASTELO BRANCO","Ponto Escola Estanislau Castelo Branco"
"ESCOLA INACIO DE OLIVEIRA CAMP","Ponto Escola Inácio de Oliveira Camp"
"ESCOLA JOSE MARIA DE CARVALHO","Ponto Escola José Maria de Carvalho"
"ESCOLA OTAVIO ALVARES DA SILVA",
"ESCOLA PROFESSORA ANGELA MARIA","Ponto Escola Prof. Angela Maria"
"ESCOLA TABELIAO JOAO BATISTA DA ROCHA","Ponto Escola Tabeliao Joao Batista da Rocha"
"FARMACIA","Ponto Farmácia Municipal"
"FATURAMENTO E CONTROLE","Ponto Faturamento e Controle"
"FINANCAS","Ponto Secretaria Mun. Finanças"
"FISCALIZACAO DE POSTURAS","Ponto Fiscalização de Posturas"
"FISCALIZACAO TRIBUTARIA","Ponto Fiscalização Tributária"
"FISIOTERAPIA-POLICLINICA","Ponto Fisioterapia-Policlínica"
"FORUM-CEDIDA","Ponto Fórum"
"GABINETE","Ponto Gabinete"
"GOVERNO E GABINETE","Ponto Governo e Gabinete"
"GOVERNO/GABINETE","Ponto Governo/Gabinete"
"GUARDA MIRIM","Guarda Mirim"
"GUARDA MUNICIPAL","Guarda Municipal"
"GUARITA-CENTRO ADMINISTRATIVO","Guarita-Centro Administrativo"
"IEF","Ponto IEF"
"IFMG - CEFET",
"INFRA-ADM-OBRAS","Ponto Infra-Adm-Obras"
"INFRA-ADM-URBANISMO","Ponto Infra-Adm-Urbanismo"
"INFRAESTRUTURA-ADMINISTRATIVO","Ponto Infraestrutura-Administrativo"
"INFRAESTRUTURA-GESTAO FROTAS","Ponto Infraestrutura-Gestão Frotas"
"INFRAESTRUTURA-OBRAS","Ponto Infraestrutura-Obras"
"IPSEMP-INSTITUTO PREVIDENCIA","Ponto IPSEMP-Instituto Previdência"
"LABORATORIO MUNICIPAL","Ponto Laboratório Municipal"
"LAVADOR INFRAESTRUTURA","Ponto Lavador Infraestrutura"
"LICITACAO","Ponto Licitação"
"LIMPEZA- CENTRO ADM-FUNDOS","Ponto Limpeza - Centro Adm-Fundos"
"LIMPEZA-CENTRO ADM-1 ANDAR","Ponto Limpeza - Centro Adm 1 Andar"
"LIMPEZA-CENTRO ADM-2 ANDAR","Ponto Limpeza - Centro Adm 2 Andar"
"MECANICA INFRAESTRUTURA","Mecânico Infraestrutura"
"MEDICINA DO TRABALHO","Ponto Medicina do Trabalho"
"MEIO AMBIENTE","Ponto Meio Ambiente"
"MOTORISTA-SAUDE","Ponto Transporte-Saúde"
"MUSEU","Ponto Centro Cultural - Museu"
"NASF (NUCLEO ASSIST.SAUDE FAMILIA)","Ponto NASF"
"OLHO VIVO","Ponto Olho Vivo"
"OPMER (Obser.Pesqui.Étnico Racial)","Ponto OPMER - CINEMA"
"OUVIDORIA","Ponto Ouvidoria"
"PETI",
"POLICLINICA","Ponto Policlínica Municipal"
"POLIESPORTIVO","Ponto Poliesportivo"
"PRACA ESPORTE","Ponto Praça de Esportes"
"PREFEITURA MUNICIPAL DE NOVA SERRANA",
"PRO EJA FIC - ERRADICACAO",
"PROCURADORIA","Ponto Procuradoria"
"PROG.MENINOS DE OURO",
"PROGRAMA BOLSA FAMILIA","Ponto Programa Bolsa Família"
"PROGRAMA CRIANÇA FELIZ","Ponto Programa Criança Feliz"
"PRONTO ATENDIMENTO MUNICIPAL","Pronto Atendimento Municipal"
"PROTOCOLO GERAL","Protocolo Geral"
"QUADRA DE AREIA","Ponto Quadra de Areia"
"QUARTEL","Ponto Quartel"
"RECEPCAO CENTRO ADMINISTRATIVO","Recepção Centro Administrativo"
"REDE DE ESGOTO INFRAESTRUTURA","Rede de Esgoto Infraestrutura"
"SALA MINEIRA DO EMPREENDEDOR","Sala Mineira do Empreendedor"
"SAMU","SAMU"
"SANTA CASA","Ponto Santa Casa"
"SAUDE BUCAL - ASB CASAS POPULARES","Ponto Saúde Bucal - ASB Volta do Brejo"
"SAUDE BUCAL - ASB CENTRO","Ponto Saúde Bucal - ASB Centro"
"SAUDE BUCAL - ASB CIDADE JARDI","Ponto Saúde Bucal - ASB Cidade Jardim"
"SAUDE BUCAL - ASB LOTEAMENTO","Ponto Saúde Bucal - ASB Loteamento"
"SAUDE BUCAL - ASB MORRO DOCE","Ponto Saúde Bucal - ASB Morro Doce"
"SAUDE BUCAL - ASB RURAL","Ponto Saúde Bucal - ASB Rural"
"SAUDE BUCAL - ASB TREVO","Ponto Saúde Bucal - ASB Trevo"
"SAUDE BUCAL - ASB VARZEA DAS FLORES","Ponto Saúde Bucal - ASB Várzea das Flores"
"SAUDE BUCAL - ASB VOLTA DO BREJO","Ponto Saúde Bucal - ASB Volta do Brejo"
"SECRETARIA DE ADMINISTRACAO","Ponto Secretaria de Administração"
"SECRETARIA DE EDUCACAO","Ponto Secretaria de Educação"
"SECRETARIA MUN. FINANCAS","Ponto Secretaria Mun. Finanças"
"SENTINELA",
"SEPLAG",
"SERV.URBA-JARDINAGEM","Ponto Serv.Urb-Limp.Praças"
"SERV.URB-COLETA LIXO","Ponto Serv. Urb - Coleta Lixo"
"SERV.URB-LIMP.PRACAS","Ponto Serv.Urb-Limp.Praças"
"SERV.URB-MULTIRAO LIMPEZA","Ponto Serv. Urb - Coleta Lixo"
"SERV.URB-TAPA BURACO","Ponto Serv.Urb-Limp.Praças"
"SERV.URB-VARRICAO","Ponto Serv.Urb-Varrição"
"SERVICO DE CONVIVENCIA","Ponto Serviço de Convivência"
"SERVICO FUNERARIO","Ponto Serviço Funerário"
"SIAT","Ponto SIAT"
"SINDICATO-SERVIDORES","Ponto Sindicato-Servidores"
"SINE - SEDESE","Ponto SINE - SEDESE"
"T.F.D (TRATAMENTO FORA DOMICILIO)","T.F.D (Tratamento Fora Domicílio)"
"TELEFONIA-CENTRO ADMINISTRATIVO","Telefonia-Centro Administrativo"
"TESOURARIA","Ponto Tesouraria"
"TIC-INFORMATICA","Ponto TIC-Informática"
"TRANSITO",
"TRANSPORTE-CULTURA","Ponto Transporte-Cultura"
"TRANSPORTE-DESENVOLVIMENTO","Ponto Transporte-Desenvolvimento"
"TRANSPORTE-ESCOLAR","Ponto Transporte-Escolar"
"TRANSPORTE-INFRAESTRUTURA","Ponto Transporte-Infraestrutura"
"TRANSPORTE-OBRAS","Ponto Transporte-Urbanismo"
"TRANSPORTE-SAUDE","Ponto Transporte-Saúde"
"TRANSPORTE-URBANISMO","Ponto Transporte-Urbanismo"
"TRANSPORTE-ZONA RURAL","Ponto Transporte-Zona Rural"
"UBS CASAS POPULARES","Ponto UBS Casas Populares"
"UBS CENTRO","Ponto UBS Centro"
"UBS CIDADE JARDIM","Ponto UBS Cidade Jardim"
"UBS LOTEAMENTO","Ponto UBS Loteamento"
"UBS MORRO DOCE","Ponto UBS Morro Doce"
"UBS RURAL E SILVA CAMPOS","Ponto Ubs Silva Campos"
"UBS SAO JOSE/CIDADE JARDIM","Ponto UBS Cidade Jardim"
"UBS TREVO","Ponto UBS Trevo/Rural"
"UBS VARZEA DAS FLORES","Ponto UBS Várzea"
"UBS VOLTA DO BREJO","Ponto UBS Volta do Brejo / UBS Populares"
"UNIMONTES","Unimontes"
"URBANISMO - OUTROS","Urbanismo-Outros"
"URBANISMO-SILVA CAMPOS","Urbanismo-Silva Campos"
"VIGIA",
"VIGILACIA EM SAUDE","Vigilância em Saúde"
"VIGILANCIA COVID-19","Vigilância em Saúde"
"VIGILANCIA SANITARIA","Vigilância em Saúde"
"ZOONOSES","Ponto CANIL - ZOONOSE"
